Merchant Category,Supplier Name,Service,Summary of purpose of expenditure,Date,Net Amount
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,721.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,2142
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,721.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,2404.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,721.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1071
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,07/09/2017,1071
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1923.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,2863.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1071
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1071
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1442.7
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1071
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,2908.3
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,577.08
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1792.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1442.7
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,721.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,721.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,4261.95
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,5267.85
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,961.8
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1071
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,2513.7
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,2225.03
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,2095.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1550.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,721.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1904.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1683.15
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,721.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1082.03
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,961.8
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,4087.65
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1683.15
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,961.8
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,721.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,961.8
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,577.08
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1071
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1683.15
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,2142
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1071
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,577.08
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,721.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1106.07
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,961.8
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,618.3
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1496.94
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,7240.54
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,9618
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1154.16
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1442.7
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1792.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,961.8
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,577.08
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,2164.05
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,2499.63
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,7453.95
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1923.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1071
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,2164.05
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,721.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,2032.8
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,07/09/2017,666.66
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,07/09/2017,572
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,07/09/2017,738.26
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,07/09/2017,1811.28
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,06/09/2017,500
Client/Customer (Non-Trade),Redact - Personal Information,Cultural & Related Services,Refunds,07/09/2017,500
Client/Customer (Non-Trade),Redact - Personal Information,Central Services to the public,Professional Fees,07/09/2017,2000
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,07/09/2017,549.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,07/09/2017,1442.7
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,07/09/2017,721.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,07/09/2017,1442.7
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,07/09/2017,721.35
